Topic,Texte,Image,Question 1,,,,Question 2,,,
,,,Starter ,Prompt 1,Prompt 2,Prompt 3,Starter ,Prompt 1,Prompt 2,Prompt 3
Il était une fois la science,"Marie Curie est une savante exceptionnelle. Née en Pologne, elle fait ses études à la faculté des sciences de Paris. Marie fait partie des rares femmes qui y sont admises. C’est là qu’elle rencontre Pierre Curie, avec qui elle se marie. Ensemble, ils travaillent sur l’étude des rayons X et découvrent deux éléments radioactifs : le polonium et le radium. En 1903, le couple reçoit le prix Nobel de physique. Pendant la Première Guerre mondiale, elle met en place des ambulances équipées d’appareils de radiologie, ce qui permet de sauver de nombreux blessés. Marie Curie est la première femme à avoir reçu un prix Nobel pour ses découvertes. Elle en a même reçu deux, l’un avec Pierre Curie en physique, et l’autre pour ses recherches en chimie. ",,Quel(le),Voir ce qu'il y'a à l'intérieur de la matière,Première femme professeure à la Sorbonne,Ils peuvent causer des maladies,Comment,Voir l'anomalie dans le coprs d'un malade,"""Petites Curies""",Un cancer
Il était une fois la science,"Albert Einstein est un savant hors du commun, indiscipliné et brillant. Il est
considéré comme l’un des plus grands scientifiques du XXe siècle. Il est
également connu pour ses idées pacifiques.
Mauvais élève quand il était petit, Albert se démarque vite par ses recherches. 
Il obtient son diplôme de l’École polytechnique de Zurich, en Suisse, et reçoit
ensuite le prix Nobel de physique pour ses découvertes. Dans les années 1930,
la situation politique en Allemagne se dégrade. Einstein, d’origine juive, quitte
l’Europe pour les États-Unis et y devient professeur. 
À son grand désespoir, ce pays se sert de ses recherches pour créer et utiliser 
la première bombe atomique.",,Comment,Il apprenait les mathématiques tout seul,Il s'est enfui,Avec beaucoup de respect,Quel(le),Comprendre l'origine du monde ,Le Japon,L'utiliser pour gagner des guerres
Il était une fois la science,"Louis Pasteur naît en 1822. Après ses études, il devient professeur de physique-chimie à Dijon, puis à Strasbourg. En 1865, il découvre une façon de conserver les aliments plus longtemps : on appelle cela la pasteurisation. Dans les années 1880, alors qu’il combat le choléra chez les animaux, il lui vient une idée géniale : innoculer en petite quantité la maladie pour que le corps renforce sa capacité à se défendre. Il invente ainsi le principe de la vaccination. Il recommence l’expérience lorsqu’un petit garçon atteint de rage arrive dans son laboratoire. C’est un succès ! En 1888, Pasteur ouvre un institut dédié à la vaccination et à la recherche. Très vite, d’autres instituts ouvrent dans le monde entier.",,Comment,Chauffer puis refroidir brusquement,Une personne très discrète,Il s'appuyait sur d'autres idées scientifiques,Quel(s),Des echecs ,Arreter la contagion d'une maladie,Troubles comportementaux
Il était une fois la science,"Alan Turing est né en 1912 à Paddington. Alan Mathison Turing est un célèbre mathématicien. Élève surdoué et précoce, son génie est vite repéré par ses proches et ses professeurs : il aurait appris à lire seul en trois semaines. Pendant la Seconde Guerre mondiale, Turing a travaillé sur le déchiffrement des messages allemands, permettant ainsi aux Alliés de remporter des batailles importantes. Turing est aussi un pionnier de l'informatique. Il a étudié l'intelligence artificielle et travaillé sur les premiers ordinateurs. Il a élaboré le test de Turing, une méthode qui permet de vérifier qu'un programme est capable de simuler les réponses d'un être humain sans que celui-ci se rende compte qu'il parle avec un ordinateur.",,Quel(s),Un algorithme qui peut jouer aux échecs,Anglaise,"Royaume-Uni, France et Etats-Unis",Comment,La machine de Turing,Le père des machines intelligentes,Deux ans de guerre de moins
Il était une fois la science,"Gustave Eiffel, né sous le nom de Bönickhausen en décembre 1832 à Dijon et mort le en décembre 1923 à Paris, est un ingénieur français. Ayant échoué à l'oral du concours d'entrée à l'École polytechnique, il suit les cours de l'École centrale des arts et manufactures où il obtient son diplôme d'ingénieur. Il travaille tout d'abord dans la construction des chemins de fer. A 26 ans, il dirige la construction du pont de Bordeaux. En 1864, il installe ses ateliers à Levallois-Perret prés de Paris.  Il deviendra ensuite un pionnier de l'architecture métallique. Il a notamment construit : le viaduc Maria Pia, à Porto, au Portugal (1877) ; le viaduc de Garabit, dans le Cantal, en France (1884) ; la structure métallique de la statue de la Liberté (1886) ; la tour Eiffel (de 1887 à 1889).",,Pourquoi,Connecter les deux rives,Un cadeau,Une compétition,Combien,10.000 tonnes,250 millions de personnes,2 ans et 5 mois
Il était une fois la science,"Rosalind Franklin est née en 1920, elle est pionnière britannique de la biologie moléculaire, a découvert la structure de l'acide désoxyribonucléique (ADN). Élève brillante, Rosalind Franklin intègre à 11 ans un des seuls établissements de Londres où la physique et la chimie sont enseignées aux jeunes filles. Dès 1956, la santé de Rosalind Franklin se dégrade en raison des suites d'un cancer. Après plusieurs traitements, elle décède finalement à Londres,à seulement 38 ans. En 1962,ce sont ses collègues James Watson,Francis Crick et Maurice Wilkins qui obtiennent le prix Nobel pour la découverte de la structure à double hélice de l'ADN sans citer Rosalind Franklin. Rosalind Franklin, malgré son rôle primordial, ne sera malheureusement pas récompensée ou à titre posthume.",,Quel(e),Transmet les informations héréditaires des parents aux enfants,Une molécule,Garde dans l'armée,Pourquoi,Sur-esxposée à des rayons dangereux,Ses collègues ont nié sa participation à la découverte,Elle a aussi découvert un virus
Robots intelligents,"Un robot est une machine qui interagit avec ce qui l'entoure. Comment y arrive-t-il? Grace à un programme informatique mis au point par un ingénieur, qui définit comment il doit réagir à ce qu'il détecte autour de lui. Un robot possède des capeturs pour percevoir des objets, des couleurs ou des sons, et des moteurs pour bouger. Le robot prend en compte ce qui se passe autour de lui, alors qu'un automate ne fait qu'éxécuter des mouvements définis à l'avance, sans pouvoir s'adapter aux évènements extérieurs. Il existe une multitude de robots diffèrents, avec des formes et des tailles très variées, adaptées à ce qu'on veut qu'ils fassent.",,Où,Dans sa mémoire,Des milieux dangereux,Toutes les industries,Qu'est ce qu',Une caméra par exemple,Un actionneur,Un système qui reproduit une séquence d'actions
Robots intelligents,"Un robot possède une partie ordinateur qui lui sert de cerveau. On y trouve le processeur (qui fait les calculs) et la mémoire contenant un programme informatique. Ces élèments lui permettent de controler son comportement: ils calculent quelle action doit etre réalisée quand ses capteurs détectent des situations diverses. Sa partie ordinateur ne suffit pas de le rendre intelligent. Il lui faut aussi un corps adapté pour agir efficacement dans son environnement. Certains robots sont en plus capables de mémoriser, de résoudre des problèmes, d'apprendre ou de répondre lorsqu'on leur parle. Il y a donc dans les robots différentes formes d'intelligence artificielle.",,Quel,Enregistre les données importantes,Transmettent les données au processeur,Il effectue l'action,Comment,Via un programme informatique,Il cherche dans sa mémoire s'il a la réponse,On leur apprend les solutions à ces problèmes
Robots intelligents,"Un robot peut apprendre de plusieurs manières! Il peut apprendre par essai-erreur en testant plusieurs solutions possibles pour résoudre le problème et en gardant la meilleure. On parle alors d'apprentissage par renforcement. Il peut aussi apprendre par imitation, en mémorisant par exemple l'association entre un mot et une image. Il peut encore apprendre en écoutant les instructions qu'on lui donne en parlant et en les mémorisant. Quand il voit une nouvelle situation, il cherche dans sa mémoire s'il en a déjà vu une semblable. Si oui, il fait alors ce qui avait fonctionné avant.",,Qu'est ce qui,Il fait une action au hasard,Faire beaucoup d'essais,Son programme informatique ,Combien,Des jours ,Beaucoup de données, 5000 fois à peu prés
